"id";"nome";"uf"
"1";"ACRE";"AC"
"2";"ALAGOAS";"AL"
"3";"AMAZONAS";"AM"
"4";"AMAPA";"AP"
"5";"BAHIA";"BA"
"6";"CEARA";"CE"
"7";"BRASILIA";"DF"
"8";"ESPIRITO SANTO";"ES"
"9";"GOIAS";"GO"
"10";"MARANHAO";"MA"
"11";"MINAS GERAIS";"MG"
"12";"MATO GROSSO DO SUL";"MS"
"13";"MATO GROSSO";"MT"
"14";"PARA";"PA"
"15";"PARAIBA";"PB"
"16";"PIAUI";"PI"
"17";"PARANA";"PR"
"18";"RIO DE JANEIRO";"RJ"
"19";"RIO GRANDE DO NORTE";"RN"
"20";"RONDONIA";"RO"
"21";"RORAIMA";"RR"
"22";"RIO GRANDE DO SUL";"RS"
"23";"SANTA CATARINA";"SC"
"24";"SERGIPE";"SE"
"25";"SAO PAULO";"SP"
"26";"TOCANTINS";"TO"
"27";"PERNANBUCO";"PE"